Sekunden;Gas;Aussen;Kessel;Wasser;Relais;Programm;;Status;;;Tag
1768966732;6225,31;-3,25;45,5;28,5;0x95;0x44;;0x05;;;0x84
1768966737;6225,31;-3,25;46,0;28,5;0x95;0x44;;0x05;;;0x84
1768966742;6225,31;-3,25;46,5;28,5;0x95;0x44;;0x05;;;0x84
1768966745;6225,32;-3,25;46,5;28,5;0x95;0x44;;0x05;;;0x84
1768966747;6225,32;-3,25;47,0;28,5;0x95;0x44;;0x05;;;0x84
1768966753;6225,32;-3,25;47,5;28,5;0x95;0x44;;0x05;;;0x84
1768966756;6225,32;-3,25;47,5;29,0;0x95;0x44;;0x05;;;0x84
1768966757;6225,33;-3,25;47,5;29,0;0x95;0x44;;0x05;;;0x84
1768966758;6225,33;-3,25;48,0;29,0;0x95;0x44;;0x05;;;0x84
1768966764;6225,33;-3,25;48,5;29,0;0x95;0x44;;0x05;;;0x84
1768966768;6225,33;-3,25;49,0;29,0;0x95;0x44;;0x05;;;0x84
1768966769;6225,34;-3,25;49,0;29,0;0x95;0x44;;0x05;;;0x84
1768966773;6225,34;-3,25;49,5;29,0;0x95;0x44;;0x05;;;0x84
1768966778;6225,34;-3,25;50,0;29,0;0x95;0x44;;0x05;;;0x84
1768966781;6225,35;-3,25;50,5;29,0;0x95;0x44;;0x05;;;0x84
1768966785;6225,35;-3,25;51,0;29,0;0x95;0x44;;0x05;;;0x84
1768966792;6225,35;-3,25;51,5;29,0;0x95;0x44;;0x05;;;0x84
1768966793;6225,36;-3,25;51,5;29,0;0x95;0x44;;0x05;;;0x84
1768966797;6225,36;-3,25;52,0;29,0;0x95;0x44;;0x05;;;0x84
1768966800;6225,36;-3,25;52,5;29,0;0x95;0x44;;0x05;;;0x84
1768966805;6225,37;-3,25;53,0;29,0;0x95;0x44;;0x05;;;0x84
1768966807;6225,37;-3,25;53,0;29,5;0x95;0x44;;0x05;;;0x84
1768966812;6225,37;-3,25;53,5;29,5;0x95;0x44;;0x05;;;0x84
1768966817;6225,38;-3,25;54,0;29,5;0x95;0x44;;0x05;;;0x84
1768966820;6225,38;-3,25;54,5;29,5;0x95;0x44;;0x05;;;0x84
1768966825;6225,38;-3,25;55,0;29,5;0x95;0x44;;0x05;;;0x84
1768966829;6225,39;-3,25;55,0;29,5;0x95;0x44;;0x05;;;0x84
1768966830;6225,39;-3,25;55,5;29,5;0x95;0x44;;0x05;;;0x84
1768966837;6225,39;-3,25;56,0;29,5;0x95;0x44;;0x05;;;0x84
1768966842;6225,40;-3,25;56,5;29,5;0x95;0x44;;0x05;;;0x84
1768966846;6225,40;-3,25;56,5;30,0;0x95;0x44;;0x05;;;0x84
1768966847;6225,40;-3,25;57,0;30,0;0x95;0x44;;0x05;;;0x84
1768966853;6225,40;-3,25;57,5;30,0;0x95;0x44;;0x05;;;0x84
1768966854;6225,41;-3,25;57,5;30,0;0x95;0x44;;0x05;;;0x84
1768966859;6225,41;-3,25;58,0;30,0;0x95;0x44;;0x05;;;0x84
1768966864;6225,41;-3,25;58,5;30,0;0x95;0x44;;0x05;;;0x84
1768966866;6225,42;-3,25;58,5;30,0;0x95;0x44;;0x05;;;0x84
1768966869;6225,42;-3,25;59,0;30,0;0x95;0x44;;0x05;;;0x84
1768966871;6225,42;-3,25;59,0;30,5;0x95;0x44;;0x05;;;0x84
1768966876;6225,42;-3,25;59,5;30,5;0x95;0x44;;0x05;;;0x84
1768966878;6225,43;-3,25;59,5;30,5;0x95;0x44;;0x05;;;0x84
1768966885;6225,43;-3,25;60,0;30,5;0x95;0x44;;0x05;;;0x84
1768966890;6225,44;-3,25;60,5;30,5;0x95;0x44;;0x05;;;0x84
1768966897;6225,44;-3,25;61,0;30,5;0x95;0x44;;0x05;;;0x84
1768966902;6225,45;-3,25;61,5;30,5;0x95;0x44;;0x05;;;0x84
1768966908;6225,45;-3,25;62,0;30,5;0x95;0x44;;0x05;;;0x84
1768966910;6225,45;-3,25;62,0;31,0;0x95;0x44;;0x05;;;0x84
1768966913;6225,45;-3,25;62,5;31,0;0x95;0x44;;0x05;;;0x84
1768966914;6225,46;-3,25;62,5;31,0;0x95;0x44;;0x05;;;0x84
1768966920;6225,46;-3,25;63,0;31,0;0x95;0x44;;0x05;;;0x84
1768966926;6225,47;-3,25;63,0;31,0;0x95;0x44;;0x05;;;0x84
1768966927;6225,47;-3,25;63,5;31,0;0x95;0x44;;0x05;;;0x84
1768966935;6225,47;-3,25;64,0;31,0;0x95;0x44;;0x05;;;0x84
1768966939;6225,48;-3,25;64,0;31,0;0x95;0x44;;0x05;;;0x84
1768966942;6225,48;-3,25;64,5;31,0;0x95;0x44;;0x05;;;0x84
1768966947;6225,48;-3,25;64,5;31,5;0x95;0x44;;0x05;;;0x84
1768966949;6225,48;-3,25;65,0;31,5;0x95;0x44;;0x05;;;0x84
1768966951;6225,49;-3,25;65,0;31,5;0x95;0x44;;0x05;;;0x84
1768966956;6225,49;-3,25;65,5;31,5;0x95;0x44;;0x05;;;0x84
1768966961;6225,49;-3,25;66,0;31,5;0x95;0x44;;0x05;;;0x84
1768966963;6225,50;-3,25;66,0;31,5;0x95;0x44;;0x05;;;0x84
1768966969;6225,50;-3,25;66,5;31,5;0x95;0x44;;0x05;;;0x84
1768966975;6225,51;-3,25;66,5;31,5;0x95;0x44;;0x05;;;0x84
1768966978;6225,51;-3,25;67,0;31,5;0x95;0x44;;0x05;;;0x84
1768966986;6225,51;-3,25;67,5;32,0;0x95;0x44;;0x05;;;0x84
1768966987;6225,52;-3,25;67,5;32,0;0x95;0x44;;0x05;;;0x84
1768966993;6225,52;-3,25;68,0;32,0;0x95;0x44;;0x05;;;0x84
1768966999;6225,53;-3,25;68,0;32,0;0x95;0x44;;0x05;;;0x84
1768967003;6225,53;-3,25;68,5;32,0;0x95;0x44;;0x05;;;0x84
1768967011;6225,54;-3,25;68,5;32,0;0x95;0x44;;0x05;;;0x84
1768967012;6225,54;-3,25;69,0;32,5;0x95;0x44;;0x05;;;0x84
1768967018;6225,54;-3,25;69,5;32,5;0x95;0x44;;0x05;;;0x84
1768967024;6225,55;-3,25;69,5;32,5;0x95;0x44;;0x05;;;0x84
1768967029;6225,55;-3,25;70,0;32,5;0x95;0x44;;0x05;;;0x84
1768967035;6225,55;-3,25;70,5;32,5;0x95;0x44;;0x05;;;0x84
1768967036;6225,56;-3,25;70,5;32,5;0x95;0x44;;0x05;;;0x84
1768967037;6225,56;-3,25;70,5;33,0;0x95;0x44;;0x05;;;0x84
1768967044;6225,56;-3,25;71,0;33,0;0x95;0x44;;0x05;;;0x84
1768967048;6225,57;-3,25;71,0;33,0;0x95;0x44;;0x05;;;0x84
1768967056;6225,57;-3,25;71,5;33,0;0x95;0x44;;0x05;;;0x84
1768967060;6225,58;-3,25;71,5;33,0;0x95;0x44;;0x05;;;0x84
1768967062;6225,58;-3,25;71,5;33,5;0x95;0x44;;0x05;;;0x84
1768967066;6225,58;-3,25;72,0;33,5;0x95;0x44;;0x05;;;0x84
1768967072;6225,59;-3,25;72,0;33,5;0x95;0x44;;0x05;;;0x84
1768967076;6225,59;-3,25;72,5;33,5;0x95;0x44;;0x05;;;0x84
1768967084;6225,60;-3,25;73,0;33,5;0x95;0x44;;0x05;;;0x84
1768967088;6225,60;-3,25;73,0;34,0;0x95;0x44;;0x05;;;0x84
1768967096;6225,61;-3,25;73,5;34,0;0x95;0x44;;0x05;;;0x84
1768967103;6225,61;-3,25;74,0;34,0;0x95;0x44;;0x05;;;0x84
1768967109;6225,62;-3,25;74,0;34,0;0x95;0x44;;0x05;;;0x84
1768967113;6225,62;-3,25;74,0;34,5;0x95;0x44;;0x05;;;0x84
1768967115;6225,62;-3,25;74,5;34,5;0x95;0x44;;0x05;;;0x84
1768967121;6225,63;-3,25;74,5;34,5;0x95;0x44;;0x05;;;0x84
1768967127;6225,63;-3,25;75,0;34,5;0x95;0x44;;0x05;;;0x84
1768967133;6225,64;-3,25;75,0;34,5;0x95;0x44;;0x05;;;0x84
1768967137;6225,64;-3,25;75,5;34,5;0x95;0x44;;0x05;;;0x84
1768967139;6225,64;-3,25;75,5;35,0;0x95;0x44;;0x05;;;0x84
1768967145;6225,65;-3,25;75,5;35,0;0x95;0x44;;0x05;;;0x84
1768967150;6225,65;-3,25;76,0;35,0;0x95;0x44;;0x05;;;0x84
1768967157;6225,66;-3,25;76,0;35,0;0x95;0x44;;0x05;;;0x84
1768967164;6225,66;-3,25;76,5;35,5;0x95;0x44;;0x05;;;0x84
1768967169;6225,67;-3,25;76,5;35,5;0x95;0x44;;0x05;;;0x84
1768967176;6225,67;-3,25;77,0;35,5;0x95;0x44;;0x05;;;0x84
1768967178;6225,67;-3,25;77,0;36,0;0x95;0x44;;0x05;;;0x84
1768967182;6225,68;-3,25;77,0;36,0;0x95;0x44;;0x05;;;0x84
1768967188;6225,68;-3,25;77,5;36,0;0x95;0x44;;0x05;;;0x84
1768967194;6225,69;-3,25;77,5;36,0;0x95;0x44;;0x05;;;0x84
1768967200;6225,69;-3,25;78,0;36,0;0x95;0x44;;0x05;;;0x84
1768967203;6225,69;-3,25;78,0;36,5;0x95;0x44;;0x05;;;0x84
1768967210;6225,69;-3,25;78,5;36,5;0x95;0x44;;0x05;;;0x84
1768967225;6225,69;-3,25;79,0;36,5;0x95;0x44;;0x05;;;0x84
1768967228;6225,69;-3,25;79,0;37,0;0x95;0x44;;0x05;;;0x84
1768967242;6225,69;-3,25;79,5;37,5;0x95;0x44;;0x05;;;0x84
1768967267;6225,69;-3,25;79,5;38,0;0x95;0x44;;0x05;;;0x84
1768967272;6225,69;-3,25;79,0;38,0;0x95;0x44;;0x05;;;0x84
1768967279;6225,69;-3,25;79,0;38,5;0x95;0x44;;0x05;;;0x84
1768967289;6225,69;-3,25;78,5;38,5;0x95;0x44;;0x05;;;0x84
1768967301;6225,69;-3,25;78,0;38,5;0x95;0x44;;0x05;;;0x84
1768967304;6225,69;-3,25;78,0;39,0;0x95;0x44;;0x05;;;0x84
1768967311;6225,69;-3,25;77,5;39,0;0x95;0x44;;0x05;;;0x84
1768967318;6225,69;-3,25;77,0;39,5;0x95;0x44;;0x05;;;0x84
1768967325;6225,69;-3,25;76,5;39,5;0x95;0x44;;0x05;;;0x84
1768967335;6225,69;-3,25;76,0;39,5;0x95;0x44;;0x05;;;0x84
1768967340;6225,69;-3,25;75,5;39,5;0x95;0x44;;0x05;;;0x84
1768967343;6225,69;-3,25;75,5;40,0;0x95;0x44;;0x05;;;0x84
1768967347;6225,69;-3,25;75,0;40,0;0x95;0x44;;0x05;;;0x84
1768967357;6225,69;-3,25;74,5;40,5;0x95;0x44;;0x05;;;0x84
1768967364;6225,69;-3,25;74,0;40,5;0x95;0x44;;0x05;;;0x84
1768967369;6225,69;-3,25;74,0;41,0;0x95;0x44;;0x05;;;0x84
1768967371;6225,69;-3,25;73,5;41,0;0x95;0x44;;0x05;;;0x84
1768967377;6225,69;-3,25;73,0;41,0;0x95;0x44;;0x05;;;0x84
1768967386;6225,69;-3,25;72,5;41,0;0x95;0x44;;0x05;;;0x84
1768967388;6225,70;-3,25;72,5;41,0;0x95;0x44;;0x05;;;0x84
1768967393;6225,70;-3,25;72,0;41,0;0x95;0x44;;0x05;;;0x84
1768967400;6225,71;-3,25;72,0;41,0;0x95;0x44;;0x05;;;0x84
1768967401;6225,71;-3,25;71,5;41,0;0x95;0x44;;0x05;;;0x84
1768967408;6225,71;-3,25;71,5;41,5;0x95;0x44;;0x05;;;0x84
1768967409;6225,71;-3,25;71,0;41,5;0x95;0x44;;0x05;;;0x84
1768967412;6225,72;-3,25;71,0;41,5;0x95;0x44;;0x05;;;0x84
1768967418;6225,72;-3,25;70,5;41,5;0x95;0x44;;0x05;;;0x84
1768967424;6225,73;-3,25;70,5;41,5;0x95;0x44;;0x05;;;0x84
1768967428;6225,73;-3,25;70,0;41,5;0x95;0x44;;0x05;;;0x84
1768967433;6225,73;-3,25;70,0;42,0;0x95;0x44;;0x05;;;0x84
1768967435;6225,73;-3,25;69,5;42,0;0x95;0x44;;0x05;;;0x84
1768967436;6225,74;-3,25;69,5;42,0;0x95;0x44;;0x05;;;0x84
1768967445;6225,74;-3,25;69,0;42,0;0x95;0x44;;0x05;;;0x84
1768967449;6225,75;-3,25;69,0;42,0;0x95;0x44;;0x05;;;0x84
1768967459;6225,75;-3,25;69,0;42,5;0x95;0x44;;0x05;;;0x84
1768967461;6225,76;-3,25;69,0;42,5;0x95;0x44;;0x05;;;0x84
1768967473;6225,77;-3,25;69,0;42,5;0x95;0x44;;0x05;;;0x84
1768967484;6225,77;-3,25;69,0;43,0;0x95;0x44;;0x05;;;0x84
1768967485;6225,78;-3,25;69,0;43,0;0x95;0x44;;0x05;;;0x84
1768967487;6225,78;-3,25;69,5;43,0;0x95;0x44;;0x05;;;0x84
1768967497;6225,79;-3,25;69,5;43,0;0x95;0x44;;0x05;;;0x84
1768967501;6225,79;-3,25;70,0;43,0;0x95;0x44;;0x05;;;0x84
1768967510;6225,80;-3,25;70,0;43,0;0x95;0x44;;0x05;;;0x84
1768967513;6225,80;-3,25;70,5;43,0;0x95;0x44;;0x05;;;0x84
1768967522;6225,81;-3,25;70,5;43,0;0x95;0x44;;0x05;;;0x84
1768967523;6225,81;-3,25;70,5;43,5;0x95;0x44;;0x05;;;0x84
1768967525;6225,81;-3,25;71,0;43,5;0x95;0x44;;0x05;;;0x84
1768967533;6225,81;-3,25;71,5;43,5;0x95;0x44;;0x05;;;0x84
1768967534;6225,82;-3,25;71,5;43,5;0x95;0x44;;0x05;;;0x84
1768967541;6225,82;-3,25;72,0;43,5;0x95;0x44;;0x05;;;0x84
1768967546;6225,83;-3,25;72,0;43,5;0x95;0x44;;0x05;;;0x84
1768967548;6225,83;-3,25;72,0;44,0;0x95;0x44;;0x05;;;0x84
1768967552;6225,83;-3,25;72,5;44,0;0x95;0x44;;0x05;;;0x84
1768967558;6225,84;-3,25;73,0;44,0;0x95;0x44;;0x05;;;0x84
1768967567;6225,84;-3,25;73,5;44,0;0x95;0x44;;0x05;;;0x84
1768967571;6225,85;-3,25;73,5;44,0;0x95;0x44;;0x05;;;0x84
1768967574;6225,85;-3,25;73,5;44,5;0x95;0x44;;0x05;;;0x84
1768967575;6225,85;-3,25;74,0;44,5;0x95;0x44;;0x05;;;0x84
1768967582;6225,85;-3,25;74,5;44,5;0x95;0x44;;0x05;;;0x84
1768967583;6225,86;-3,25;74,5;44,5;0x95;0x44;;0x05;;;0x84
1768967589;6225,86;-3,25;75,0;44,5;0x95;0x44;;0x05;;;0x84
1768967595;6225,87;-3,25;75,0;44,5;0x95;0x44;;0x05;;;0x84
1768967599;6225,87;-3,25;75,5;44,5;0x95;0x44;;0x05;;;0x84
1768967606;6225,87;-3,25;76,0;44,5;0x95;0x44;;0x05;;;0x84
1768967607;6225,88;-3,25;76,0;44,5;0x95;0x44;;0x05;;;0x84
1768967611;6225,88;-3,25;76,0;45,0;0x95;0x44;;0x05;;;0x84
1768967614;6225,88;-3,25;76,5;45,0;0x95;0x44;;0x05;;;0x84
1768967620;6225,89;-3,25;76,5;45,0;0x95;0x44;;0x05;;;0x84
1768967623;6225,89;-3,25;77,0;45,0;0x95;0x44;;0x05;;;0x84
1768967630;6225,89;-3,25;77,5;45,0;0x95;0x44;;0x05;;;0x84
1768967636;6225,89;-3,25;78,0;45,5;0x95;0x44;;0x05;;;0x84
1768967647;6225,89;-3,25;78,5;45,5;0x95;0x44;;0x05;;;0x84
1768967653;6225,89;-3,25;79,0;45,5;0x95;0x44;;0x05;;;0x84
1768967662;6225,89;-3,25;79,0;46,0;0x95;0x44;;0x05;;;0x84
1768967665;6225,89;-3,25;79,0;46,0;0x94;0x44;;0x05;;;0x84
1768967667;6225,89;-3,25;79,5;46,0;0x94;0x44;;0x05;;;0x84
1768967680;6225,89;-3,25;80,0;46,0;0x94;0x44;;0x05;;;0x84
1768967689;6225,89;-3,25;80,0;46,5;0x94;0x44;;0x05;;;0x84
